id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,input width,110,66,36,103,634,ship,baseline,monotonic-signal,raise-signal
m002,g002,search depth,116,66,23,27,558,ship,edge,drag-penalty,drop-slack
m003,g003,boundary pressure,39,15,46,93,188,ship,recovery,confidence-floor,raise-drag
m004,g004,complexity,92,56,27,61,494,ship,negative,lane-boundary,lower-confidence
m005,g005,input width,43,44,23,69,306,ship,baseline,monotonic-signal,raise-signal
m006,g006,search depth,53,30,43,28,156,watch,edge,drag-penalty,drop-slack
m007,g007,boundary pressure,110,42,20,98,640,ship,recovery,confidence-floor,raise-drag
m008,g008,complexity,98,45,41,82,482,ship,negative,lane-boundary,lower-confidence
m009,g009,input width,104,49,36,98,566,ship,baseline,monotonic-signal,raise-signal
m010,g010,search depth,53,42,35,104,364,ship,edge,drag-penalty,drop-slack
m011,g011,boundary pressure,36,23,43,25,68,hold,recovery,confidence-floor,raise-drag
m012,g012,complexity,31,45,17,20,186,ship,negative,lane-boundary,lower-confidence
m013,g013,input width,85,59,35,42,402,ship,baseline,monotonic-signal,raise-signal
m014,g014,search depth,102,22,40,51,394,ship,edge,drag-penalty,drop-slack
m015,g015,boundary pressure,74,58,30,60,412,ship,recovery,confidence-floor,raise-drag
m016,g016,complexity,108,73,16,13,540,ship,negative,lane-boundary,lower-confidence
m017,g017,input width,49,48,14,56,348,ship,baseline,monotonic-signal,raise-signal
m018,g018,search depth,54,62,15,76,432,ship,edge,drag-penalty,drop-slack
m019,g019,boundary pressure,108,53,45,90,538,ship,recovery,confidence-floor,raise-drag
m020,g020,complexity,51,10,30,89,282,ship,negative,lane-boundary,lower-confidence
m021,g021,input width,123,26,27,26,488,ship,baseline,monotonic-signal,raise-signal
m022,g022,search depth,61,26,27,92,372,ship,edge,drag-penalty,drop-slack
m023,g023,boundary pressure,38,45,15,73,328,ship,recovery,confidence-floor,raise-drag
m024,g024,complexity,74,16,21,55,354,ship,negative,lane-boundary,lower-confidence
m025,g025,input width,104,39,8,27,516,ship,baseline,monotonic-signal,raise-signal
m026,g026,search depth,65,7,24,97,372,ship,edge,drag-penalty,drop-slack
m027,g027,boundary pressure,98,45,19,94,594,ship,recovery,confidence-floor,raise-drag
m028,g028,complexity,30,26,8,84,308,ship,negative,lane-boundary,lower-confidence
m029,g029,input width,96,54,28,103,586,ship,baseline,monotonic-signal,raise-signal
m030,g030,search depth,75,60,40,24,308,ship,edge,drag-penalty,drop-slack
m031,g031,boundary pressure,117,12,33,32,424,ship,recovery,confidence-floor,raise-drag
m032,g032,complexity,54,20,21,28,228,ship,negative,lane-boundary,lower-confidence
m033,g033,input width,78,61,20,50,454,ship,baseline,monotonic-signal,raise-signal
m034,g034,search depth,80,38,21,59,430,ship,edge,drag-penalty,drop-slack
m035,g035,boundary pressure,45,46,51,25,118,watch,recovery,confidence-floor,raise-drag
m036,g036,complexity,75,47,20,42,398,ship,negative,lane-boundary,lower-confidence
m037,g037,input width,103,50,25,75,562,ship,baseline,monotonic-signal,raise-signal
m038,g038,search depth,63,43,8,89,484,ship,edge,drag-penalty,drop-slack
m039,g039,boundary pressure,51,58,50,101,322,ship,recovery,confidence-floor,raise-drag
m040,g040,complexity,48,28,41,12,108,watch,negative,lane-boundary,lower-confidence
m041,g041,input width,103,50,42,91,526,ship,baseline,monotonic-signal,raise-signal
m042,g042,search depth,77,53,23,72,466,ship,edge,drag-penalty,drop-slack
m043,g043,boundary pressure,72,38,22,67,410,ship,recovery,confidence-floor,raise-drag
m044,g044,complexity,117,63,12,13,572,ship,negative,lane-boundary,lower-confidence
m045,g045,input width,64,8,12,96,416,ship,baseline,monotonic-signal,raise-signal
m046,g046,search depth,115,42,35,93,590,ship,edge,drag-penalty,drop-slack
m047,g047,boundary pressure,61,8,13,96,400,ship,recovery,confidence-floor,raise-drag
m048,g048,complexity,81,58,35,89,478,ship,negative,lane-boundary,lower-confidence
m049,g049,input width,104,15,9,23,456,ship,baseline,monotonic-signal,raise-signal
m050,g050,search depth,61,20,39,31,190,ship,edge,drag-penalty,drop-slack
m051,g051,boundary pressure,92,42,42,40,364,ship,recovery,confidence-floor,raise-drag
m052,g052,complexity,67,50,13,36,388,ship,negative,lane-boundary,lower-confidence
m053,g053,input width,111,21,25,58,502,ship,baseline,monotonic-signal,raise-signal
m054,g054,search depth,79,33,11,24,386,ship,edge,drag-penalty,drop-slack
m055,g055,boundary pressure,115,23,13,54,562,ship,recovery,confidence-floor,raise-drag
m056,g056,complexity,48,50,5,61,394,ship,negative,lane-boundary,lower-confidence
m057,g057,input width,115,31,6,88,674,ship,baseline,monotonic-signal,raise-signal
m058,g058,search depth,51,48,29,100,384,ship,edge,drag-penalty,drop-slack
m059,g059,boundary pressure,71,76,12,24,436,ship,recovery,confidence-floor,raise-drag
